comment,classification
I didn't have enough time to study it. ,0
"People are not super hot, and the hands look right","6,9"
Smile on left figure.,"2,6"
Not super hot,0
Faces are messed up.,"2,6"
"I'm not sure why, but the eyes on the girl to the left didn't look right. ","2,6"
"This is a tough one, but the child is just a bit too perfect. Also, there's something about the legs that looks wrong.","2,9"
Face on far-left person,0
Lady on right jacket pointed in back.  Her left hand Thumb different from right hand thumb.,"2,6"
Not handsome enough to be fake,0
"Middle figure is too attractive. Also, there's a weird mark on the hand of the person on the right.","2,6"
Old woman looks weirdly young.,"2,7"
Fingers on ladies don't look proportionaly correct.,"2,6"
forehead wrinkles,6
something about the wrinkles around the sternum,"3,6"
Lighting on people seems off.  Also no shadows of the people on the ground.,"4,9"
"One side of the face is darker, unknown object magically suspended by ? by upper right arm.","4,9"
No shadows of sticks on the ground,"4,9"
The bannisters look fake.,"1,5"
The women on the right side is missing fingers also her shirt has mismatched shading. the jacket is jutting out behind her arm at a strange angle.,"3,4"
Looks like a painting.,"1,5"
Something strange about the black jacket on the right.,0
microphone shadows on jacket doubled shadow on collar by tie from wrong side . A whole lot of white people behind him hardly and black people.,"4,8"
The shoe on her left foot,0
The eyes are all wrong.,"2,6"
Hand on handle looks wrong.,"3,9"
Esta muy animado y se ve muy falso ,0
His tie is showing,0
Es real se ve que es una foto tomada desde un dispositivo,0
Size of truck is not in proportion.,"3,9"
Facial coloring seems off.,6
Se encuentra muy irreal ademas esta muy pixelado ,"5,1"
Warped,0
Right hand of the person on the left,6
P,0
Man's sash is faked,5
The heads don’t match the bodies — except for the mom. And glare on faces,"2,4"
"How is she holding the flowers, also,there is a weird reflection off the jacket on the left","3,4"
the girl arm and hands,"2,6"
the grampa's eyes,"2,6"
People look photoshopped in,5
Slightly blurry and consistently so ,1
Boys hand is messed up,3
"Shadows match the pose, as do indents on sand","4,9"
"Shadows are all over the place, woman's arm is messed up","4,3"
"Looks real, pretty normal pose for Nowitzki",0
"The lines are excessively clear, lighting is casting no shadows","1,4"
hands and faces dont look real or in proportion,"2,6"
The background is throwing me off. ,8
Hands are not correct,3
Doesnt look real or photoshopped,5
This is completely a AI gen image,5
BG is too perfect ,"4,8"
lighting and proportions were off,"4,6"
Lighting and details are off,4
lighting and perfectionism,4
Eyes were weird,"2,6"
Lighting and atmosphere,4
Hands are disturbing,"3,6"
they look too happy,0
thats not what phones look like,8
The direction of the shadow of the microphone doesn't match the direction of the shadow of his lower lip. ,"4,9"
Super distorted faces.,"2,6"
Lighting and photo quality between the two faces don't match. ,4
hand looks weird ,3
face is strange,"2,6"
The face skin is too perfect,5
Eyes are weird,"2,6"
The ,0
"That looks like a photo of Donald Trump.  Trump doesn't own a dog like that.  Also, the ground work of the hill looks fake.","7,8"
Ears and hands ,"6,9"
Nothing is floating,9
no image is there,0
the faces seem disconnected from the bodies,"2,6"
hands and face seem a bit off,"2,6"
the eye looks fake,"2,5"
ring finger strange and face looks painted,"6,5"
the glasses look fake,5
too perfect looking,0
person on the left looks pasted in,5
"dragon lady fingernails on 2 fingers of left hand, forehead wrinkles at unnatural angle, left thigh larger than right
","3,6"
"Everyone's hands are holding items as if they're in a meeting taking notes, yet they have plates full of food in front of them. The person on the right has his hand inside an enormous burger, and there's some obviously weird food on the table.","3,8"
skin texture is like a lovely painting,"1,5"
blue shirt blurrier than white lab coat,"1,4"
"The arm with the sleeve tattoo doesn't look like it goes with the hand. Everything else would totally fool me though, if this isn't real.","2,6"
right glove,0
left eye,"2,6"
proportions of head?,"2,6"
shadows inconsistent,4
"why do they need mayonnaise with meat and potatoes, and why salad dressing with no salad?
",8
skin tones don't look real,5
the photographer's angle seems too high.,0
The expressions on their faces look off,2
"Hand and mask look weird, jeans look flat","3,6"
manequin-esque features,7
regular photo look,0
only when you zoom in can you see the artifacting at the ends of the fingers,"1,5"
there is something about the overall look that made it look plastic,7
......................,0
Too many fingers,3
Always check the hands...,6
..n,0
Eye distortion,6
"Movement, crisp, not distorted",0
Eye distortion,6
"Crisp, not distorted",1
Hand distortions,"3,9"
"Distortions and fuzzy
","1,5"
Crisp,1
"Crisp, detailed, lots going on but looks accurate
",0
Crisp,1
"Looks real, no blatant distortion",0
Fuzzy/blurry,1
Detailed,0
"Crisp, looks legit
",0
Crisp,1
"Crisp
",1
Crisp,1
Crisp,1
Horribly distorted,"3,6"
"Weird face
","2,6"
Looks legit,0
Looks legit,0
Looks legit,0
Proportions off,"2,6"
"Looks legit
",0
Crisp,1
"Crisp
",1
Pizza in space?,8
"Blurry
",1
Legit tv show,0
Looks legit,0
"Horrible distortion
","1,5"
Photo,0
Looks legit,0
"Looks legit
",0
Looks legit,0
Detail but seems off,0
Movement and seems legit,0
photograph-like,0
"photograph like
",0
So horribly distorted,"2,6"
"Photograph like
",0
Painting like,"1,5"
"Photograph
",0
Photograph,0
Painting like,"1,5"
"Numbers?
",0
"Photograph like
",0
Painting like,"1,5"
Photograph like,0
Photograph like,0
Painting like,"1,5"
Too smooth?,5
Looks like a bad photograph,"1,4"
photograph like,0
Painting like,"1,5"
Photograph,0
Photo,0
Photograph,0
Distorted so bad,0
Horrible distortion,"3,9"
"I hope it’s AI, poor thing. It appears to have mismatched eyes size and shape, I can’t see their color, unless  close they creep me out. The face skin looks off. The hair length is not the same on both sides. Hand on the glass looks distorted.","2,6"
"Skin color, light and shadows, body angles. But Ive never run a K race, maybe that’s how id look.","4,8"
ㅏㅏㅏ,0
Nobody has 9 bridesmaids.,8
Distorted arms ,"3,9"
I don’t think you’re allowed to AI the former President.,8
Hhh,0
lights in background,4
head position,6
hand holding the dog,9
"the face, eye, mouth, hands and clothes seems not real","2,6"
The woman's left hand looks unclear ,6
Very distorted especially the faces,"2,7"
the angle of the arm,"3,9"
man's right leg?,"3,6"
his hand is missing,"3,9"
can tell,0
looks to blury,1
can tell,0
why does she have such messed up feet mate,"3,6"
too smooth and the eyes glisten too much,5
idk your a lesbian,0
what she looking at home boi,0
guys who sent indiana to space ,0
boggus bro,0
they look like they got foot fungus on their faces ,"3,6"
boggus dude,0
why he polished shiny,0
"their hand
","6,9"
"his parents are proud of him
""are u doctor yet"" lookin a-",0
yh dawg,0
why they polished shiny foo-,0
"i may have the mindest of a 3 yr old, but im knowledgable enouggh to now tht astricnayds ncsat eta pziza ni scape ",0
home bois going through 5 stages of grief in one action,0
"guys who let the lesbian nannys in our polished shiny club
",0
"who do you think you are this is 100% fake you can't trick a trickster lol get clipped 200 soo free, free 50 pot ",0
these are my grandparents ,0
blud is sparkling.,0
induits didnt have clear photos back then what the hell,0
chat this real?,0
shes pregnant,3
yall why the actual flippy is one girl lookin like a shiny ding dong while the other ones uncle ruckus lookin a-,7
idk funny innit,0
"okay, whoever made this art. I sincerely would like to tell you that the entire piece would've been absolutely beautiful if that blonde hair girl didnt look like my worst nightmare",7
 looks AI generated.,5
she looks like the next wonder-woman,7
Burger bun sizes,0
papa what are you doing here????,0
 looks bare real g  ,0
womans.,6
hey guys meet my new hair...,5
they look like my foot fungus,"6,9"
these clowns boutta be met with bigfoot as he majestically grabs the youngest one slinging her into the air whilst when daddy andaughter keep running they trip over a stone and fall 120m of a cliff Bigdad104 took the easy way out (120m) littledaughter46 fell to fall damage (120m),"3,9"
maannnnn thats my nan right there buster,0
Her hands look weird,3
her right eye looks inserted. Larger eyelashes.,"2,6"
"gloves, white clothes",0
the wrinkles by his right eye  don't match the left eye. too deep.,"2,6"
background looks super imposed,"4,5"
looks very simple and I think that the face looks a bit off,"2,7"
I am making wrong choise on purpose to see what will happen,0
it is because of the sunlight in the background,4
too blurry background,"1,4"
whats the point in faking it,0
smile too wide,7
looks so fake,0
nothing but couch in background,8
jacket too shiny,"1,5"
they have too smooth skin,6
i dont ,0
rooms dont look like that,8
faces arent correct features,"2,6"
dont know,0
the eyes in the glasses,"2,6"
blurry background and weird facial expressions,"1,7"
the picture didn't load 😔,0
gdfg,0
Wrong number of fingers and weird pose,"3,6"
Bruce,0
"Faces are odd looking, sunglasses don't sit on the face properly.","2,6"
Tips of the noses and eyes look a little strange,"2,6"
"i guess thats real
",0
fingers on the up raised hand,"3,9"
Fake they look happy ,0
Real shes doing her job ,0
Real because i was at his concert,0
Real bc ik what guns look like and that's no gun,"3,9"
image didn't render,0
average AI,0
Three toes and the foot looks like a leg,"3,6"
The hand,"3,9"
"Fingers, looks like plastic and the patch on the shoulder doesn't mean anything","3,5"
The right arm is disproportionate ,3
Old man's hand is literally in the burger. And why the flying fuck is Obama hanging out with Mark Zuckerberg if he was a nigger,"6,8"
Cause it is,0
the woman's hands are too flat,"3,6"
The truck is the size of the fucking house,"3,9"
Blood is not Mario and he has three fingers,"2,6"
They are both black niggers and they are both demons fazing through the plates.,0
"Blood has size 30 shoes and is only 6
. Also he is not dirty","3,6"
Blood is not voldemort,0
There is a condom in the pizza and the bitch has three fucking arms,"3,8"
Blood is not him,6
No one has that kind of skin care,0
They all look Sped,0
He had a huge white spot on his face but he's a fucking black ass nigger,"7,8"
One eye is looking farther right than the other eye,2
"Women can breathe in outer space along with anyone else of the human race.
",9
No one in the NFL has a fucking carbon fiber helmet,0
Indians can go to outer space because the only thing they are good at is text support and scamming old people.,8
Why would a baby be riding a bus by its self,8
GYATTTTTTTTTTTTTTTTTTTTTTTT,0
Wheres the fucking train monkey,0
Hitler killed himself,0
"they look malformed, but they are Japanese so its probably real","2,8"
MLK is dead,0
"The man on the left has hands off of the burger, The coke is weird, Obama's middle finger is way to long.","3,9"
asdasdas,0
french,0
Floating light in the background.,"4,9"
terrorist,0
I hope the little bitch is malformed like that,"3,6"
kys,0
adsdaads,0
"I aint racist, But the probability that there are 4 black chefs that all worked on 1 meal in 1 restaurant that all have the same skin tone Is near impossible, Also, The lighting is off.","8,4"
what the fuc,0
He is running with BANNED shoes.,8
why is winston Churchill there,0
"The man has a tatto that cuts off, Woman's fingers cut off to.","6,9"
the only reason NASA would go tpo the moon would be to make up shit about aliens to spread athiesm,8
lesbian ,0
whore,0
"It's pretty weird, its  just off.",0
dsadasdasd,0
hands are FLAT,"3,9"
the only thing that bithc would care about is porn,0
nigga,0
Either its fake or he is an amputee for ONLY his thumb,"3,6"
",",0
